Tipo_esercizio_storico_pe,Insegna,Tipo_via,Descrizione_via,Civico,Codice_via,ZD,Forma_vendita,Settore_storico_pe,Superficie_somministrazione,Isolato,Forma_commercio_solo_somministrazione_boolean,Forma_commercio_somministrazione/minuto_boolean,Forma_commercio_prev_somministrazione_boolean,Forma_commercio_prev_minuto_boolean,Ingresso
bar caffetteria,unspecified,LGO,SCHUSTER ILDEFONSO,10,311,1,misto,ristorante,93.0,229,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,LGO,SETTIMIO SEVERO,10,6210,7,misto,bar gastronomici e simili,77.0,232,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PLE,ARDUINO,50,6365,8,al banco,"wine,birreria,pub,enoteca,caffetteria,the",21.0,82,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PLE,CANTORE ANTONIO,30,5103,1,al banco,genere merceologico soggetto ad autorizzazione sanitaria,55.0,208,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PLE,CANTORE ANTONIO,40,5103,1,al banco,bar caffetteria;tavola fredda,38.0,174,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PLE,CUOCO VINCENZO,40,3163,4,al banco,bar caffetteria;genere merceologico soggetto ad autorizzazione sanitaria;pizzeria;pizzeria e simili;trattoria,55.0,93,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PLE,DELLO SPORT,140,6518,7,misto,bar caffetteria,115.0,190,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PLE,DELLO SPORT,200,6518,7,al banco,ristorante,271.0,222,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PLE,GOVERNO PROVVISORIO DI LOMBARDIA,40,2331,2,al banco,ristorante,41.0,201,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PLE,ISTRIA,120,1347,2,al banco,bar caffetteria;bar gastronomici e simili;cibi cotti preconfezionati;tavola fredda,45.0,132,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PLE,LAGOSTA,20,1155,9,al banco,bar caffetteria;bar gastronomici e simili,25.0,219,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PLE,LAGOSTA,40,1155,9,misto,bar gastronomici e simili,59.0,229,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PLE,LUGANO,220,1238,9,al tavolo,bar caffetteria;genere merceologico soggetto ad autorizzazione sanitaria;pizzeria;ristorante;tavola calda;trattoria,206.0,99,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PLE,MACIACHINI CARLO,10,1361,9,misto,genere merceologico soggetto ad autorizzazione sanitaria,65.0,99,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PLE,PERRUCCHETTI GIUSEPPE,40,6632,7,al banco,genere merceologico soggetto ad autorizzazione sanitaria,10.0,151,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PLE,PRINCIPESSA CLOTILDE,100,1061,9,misto,genere merceologico soggetto ad autorizzazione sanitaria,118.0,164,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PLE,STAZIONE DI PORTA GENOVA,20,5120,6,al banco,"bar,pasticceria,gelateria,cremeria,creperia",39.0,59,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PTA,PATTARI,20,299,1,al banco,genere merceologico soggetto ad autorizzazione sanitaria,34.0,291,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,ANGILBERTO II,20,4278,4,misto,bar gastronomici e simili,60.0,94,False,False,False,False,LBERTO II N. 2
bar caffetteria,unspecified,PZA,BAUSAN GIOVANNI,40,1262,9,al banco,bar caffetteria;bar gastronomici e simili;pizzeria e simili,25.0,89,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,BECCARIA CESARE,100,306,1,misto,genere merceologico soggetto ad autorizzazione sanitaria,136.0,290,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,BOLIVAR SIMONE,40,6129,6,al banco,bar caffetteria,44.0,37,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,BONOMELLI GEREMIA,100,4150,5,al banco,genere merceologico soggetto ad autorizzazione sanitaria,58.0,76,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,BONOMELLI GEREMIA,40,4150,5,al banco,genere merceologico soggetto ad autorizzazione sanitaria,52.0,62,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,BONOMELLI GEREMIA,50,4150,5,al banco,bar caffetteria,43.0,68,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,BONOMELLI GEREMIA,50,4150,5,misto,genere merceologico soggetto ad autorizzazione sanitaria;pizzeria;pizzeria e simili;ristorante,83.0,58,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,CARO TITO LUCREZIO,10,5208,5,al banco,bar caffetteria;genere merceologico soggetto ad autorizzazione sanitaria;ristorante;tavola fredda,112.0,90,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,CASTELLO,10,704,1,misto,bar caffetteria;ristorante,248.0,277,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,CAVOUR,70,237,1,al banco,"bar caffetteria;bar gastronomici e simili;genere merceologico soggetto ad autorizzazione sanitaria;tavola calda,self service,fast food",34.0,117,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,CINQUE GIORNATE,60,3053,1,al banco,bar caffetteria,31.0,119,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,CINQUE GIORNATE,60,3053,1,al banco,bar caffetteria;bar gastronomici e simili,15.0,108,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,CORDUSIO,20,626,1,al tavolo,genere merceologico soggetto ad autorizzazione sanitaria,143.0,253,False,False,False,False,VIA OREFICI
bar caffetteria,unspecified,PZA,DEL CARMINE,60,129,1,al banco,"wine,birreria,pub,enoteca,caffetteria,the",40.0,248,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,DEL DUOMO,120,1,1,misto,genere merceologico soggetto ad autorizzazione sanitaria,60.0,321,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,DEL DUOMO,0,1,1,misto,bar caffetteria,60.0,320,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,DELLA TRIVULZIANA,20,1765,9,al banco,bar gastronomici e simili,43.0,73,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,DELLA TRIVULZIANA,20,1765,9,al banco,"wine,birreria,pub,enoteca,caffetteria,the",45.0,71,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,DELLA TRIVULZIANA,30,1765,9,misto,"bar caffetteria;bar gastronomici e simili;wine,birreria,pub,enoteca,caffetteria,the",63.0,58,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,DELLA TRIVULZIANA,40,1765,9,al banco,bar gastronomici e simili,41.0,79,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,DELLA TRIVULZIANA,50,1765,9,al banco,bar caffetteria;bar gastronomici e simili,70.0,78,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,DEL TRICOLORE,40,3047,1,al banco,genere merceologico soggetto ad autorizzazione sanitaria,52.0,123,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,DERGANO,20,1500,9,al banco,"bar caffetteria;cibi cotti preconfezionati;genere merceologico soggetto ad autorizzazione sanitaria;tavola fredda;wine,birreria,pub,enoteca,caffetteria,the",31.0,88,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,DERGANO,20,1500,9,al banco,genere merceologico soggetto ad autorizzazione sanitaria,42.0,65,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,DERGANO,30,1500,9,al banco,somministrazione di alimenti e bevande,44.0,54,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,DURANTE FRANCESCO,360,2277,3,misto,ristorante,69.0,33,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,ERCULEA,50,409,1,al banco,genere merceologico soggetto ad autorizzazione sanitaria,37.0,257,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,GASPARRI PIETRO,40,1647,9,misto,bar caffetteria,69.0,97,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,GASPARRI PIETRO,40,1647,9,misto,bar caffetteria;bar gastronomici e simili;cibi cotti preconfezionati;genere merceologico soggetto ad autorizzazione sanitaria;tavola fredda,104.0,124,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,GERUSALEMME,120,7201,8,misto,bar caffetteria;bar gastronomici e simili;genere merceologico soggetto ad autorizzazione sanitaria;tavola fredda,208.0,108,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,GRAMSCI ANTONIO,100,7205,8,al banco,"bar,pasticceria,gelateria,cremeria,creperia",15.0,96,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,GRAMSCI ANTONIO,140,7205,8,misto,bar caffetteria;bar gastronomici e simili;cibi cotti preconfezionati;genere merceologico soggetto ad autorizzazione sanitaria,90.0,99,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,GUARDI FRANCESCO,150,3312,3,misto,genere merceologico soggetto ad autorizzazione sanitaria,60.0,90,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,IMPERATORE TITO,10,3216,4,al banco,bar caffetteria;bar gastronomici e simili;tavola fredda,52.0,93,False,False,False,False,VIA LATTANZIO
bar caffetteria,unspecified,PZA,LEGA LOMBARDA,10,7084,1,misto,genere merceologico soggetto ad autorizzazione sanitaria,87.0,229,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,LUIGI DI SAVOIA,200,2260,2,misto,bar caffetteria;genere merceologico soggetto ad autorizzazione sanitaria;ristorante,119.0,132,False,False,False,False,STARHOTELS ANDERSON
bar caffetteria,unspecified,VLE,DELLE RIMEMBRANZE DI GRECO,550,1412,2,self service,bar gastronomici e simili,293.0,154,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,VIA,PONTE SEVESO,440,1203,2,misto,"bar caffetteria;tavola calda,self service,fast food",105.0,145,False,False,False,False,STAZ. CENTR.
bar caffetteria,unspecified,PZA,MELOZZO DA FORLI',50,6619,7,al banco,bar caffetteria;genere merceologico soggetto ad autorizzazione sanitaria;tavola fredda,70.0,226,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,MINNITI TITO,30,1133,9,misto,bar caffetteria;bar gastronomici e simili;ristorante,56.0,214,False,False,False,False,ACCESSO ESTERNO
spaccio bevande analcoliche,unspecified,PZA,MONTE FALTERONA,10,6558,7,misto,spaccio bevande analcoliche,60.0,248,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,MONTE FALTERONA,60,6558,7,al banco,genere merceologico soggetto ad autorizzazione sanitaria,80.0,226,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,NAPOLI,190,5131,6,al banco,bar caffetteria,39.0,28,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,OBERDAN GUGLIELMO,20,2108,1,al banco,bar caffetteria,40.0,266,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,PO,100,6234,7,al banco,"bar,pasticceria,gelateria,cremeria,creperia",30.0,248,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,PREALPI,30,7300,8,misto,genere merceologico soggetto ad autorizzazione sanitaria,90.0,269,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,RISORGIMENTO,50,3117,3,al banco,bar caffetteria,31.0,61,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,SANTA FRANCESCA ROMANA,10,2183,3,al banco,"bar,pasticceria,gelateria,cremeria,creperia",29.0,63,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,SANT'ALESSANDRO,30,530,1,misto,bar caffetteria;bar gastronomici e simili;tavola fredda,56.0,309,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,SANTA MARIA BELTRADE,10,514,1,misto,bar caffetteria;genere merceologico soggetto ad autorizzazione sanitaria;tavola fredda,110.0,331,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,SANT'EUFEMIA,10,406,1,al banco,bar gastronomici e simili,35.0,264,False,False,False,False,ACCESSO ESTERNO
bar caffetteria,unspecified,PZA,SANT'EUSTORGIO,40,5186,1,al banco,"bar gastronomici e simili;bar,pasticceria,gelateria,cremeria,creperia;ristorante",45.0,232,False,False,False,False,ACCESSO ESTERNO
